,words,scores,casa_produttrice,category,decade
0,queen,2.8389506158213185,1930,animation,disney
1,papa,2.579270286341,1930,animation,disney
2,uh,2.574186380935415,1930,animation,disney
3,doin,2.243399958968032,1930,animation,disney
4,goin,2.242354316328067,1930,animation,disney
5,cat,2.0828055057266472,1930,animation,disney
6,magic,2.0653187949611365,1930,animation,disney
7,forest,2.0651045462020936,1930,animation,disney
8,mama,1.995267063615736,1930,animation,disney
9,dad,1.991307571744097,1930,animation,disney
10,monster,1.9116823168109875,1930,animation,disney
11,ooh,1.8769014080236202,1930,animation,disney
12,snow,1.8639161858156288,1930,animation,disney
13,nothin,1.8274465837885407,1930,animation,disney
14,fish,1.7951526541368408,1930,animation,disney
15,dig,1.7785307519575024,1930,animation,disney
16,birds,1.7634526839843134,1930,animation,disney
17,mighty,1.7538291005087123,1930,animation,disney
18,ya,1.7506316181948054,1930,animation,disney
19,dance,1.7331355313618892,1930,animation,disney
20,ain,1.6912324111179955,1930,animation,disney
21,hmm,1.6894795940959384,1930,animation,disney
22,wanna,1.6637239984906382,1930,animation,disney
23,tree,1.6580514300122071,1930,animation,disney
24,outta,1.5963547465771384,1930,animation,disney
25,gee,1.5670614674445549,1930,animation,disney
26,mom,1.5656367138722738,1930,animation,disney
27,guys,1.5399080367696352,1930,animation,disney
28,ring,1.5336115159690762,1930,animation,disney
29,whoa,1.5165839660852127,1930,animation,disney
30,sing,1.5037346087924552,1930,animation,disney
31,cup,1.500988053522381,1930,animation,disney
32,space,1.4982287366360294,1930,animation,disney
33,gotta,1.4933624538483272,1930,animation,disney
34,shh,1.486276589769291,1930,animation,disney
35,tie,1.4719061471830257,1930,animation,disney
36,song,1.4679446184344769,1930,animation,disney
37,dancing,1.45901834693295,1930,animation,disney
38,steady,1.4529001235754162,1930,animation,disney
39,children,1.450609367870146,1930,animation,disney
40,stole,1.419065997190207,1930,animation,disney
41,ma,1.4056540296627598,1930,animation,disney
42,flowers,1.402208889029365,1930,animation,disney
43,women,1.3945973958861595,1930,animation,disney
44,em,1.3877536323379425,1930,animation,disney
45,captain,1.3862765893242974,1930,animation,disney
46,dumb,1.37934630822072,1930,animation,disney
47,chase,1.3756646407495283,1930,animation,disney
48,mr,1.3747992402087623,1930,animation,disney
49,mark,1.3615065246530034,1930,animation,disney
50,men,1.3606305554159768,1930,animation,disney
51,upstairs,1.3598409573041843,1930,animation,disney
52,beauty,1.3557456126558325,1930,animation,disney
53,steal,1.3348738712515342,1930,animation,disney
54,singing,1.332556145589821,1930,animation,disney
55,eh,1.3269518168991947,1930,animation,disney
56,kiss,1.3155889307729438,1930,animation,disney
57,blood,1.3080472339050382,1930,animation,disney
58,rich,1.3044929813976984,1930,animation,disney
59,child,1.290404301990753,1930,animation,disney
60,aw,1.2889894136812412,1930,animation,disney
61,natural,1.2817940945736743,1930,animation,disney
62,handsome,1.2816242681266656,1930,animation,disney
63,sleeping,1.2754829951026403,1930,animation,disney
64,search,1.2692676698176542,1930,animation,disney
65,tall,1.265558643432658,1930,animation,disney
66,lies,1.2593081809219178,1930,animation,disney
67,red,1.2549188358362198,1930,animation,disney
68,delicious,1.2509992235654597,1930,animation,disney
69,ah,1.244323649052967,1930,animation,disney
70,smells,1.2431547668259428,1930,animation,disney
71,land,1.2405075597912774,1930,animation,disney
72,fly,1.2379886940428118,1930,animation,disney
73,gosh,1.2220603856636978,1930,animation,disney
74,loose,1.2179009801647405,1930,animation,disney
75,dreams,1.2152831875387706,1930,animation,disney
76,soul,1.2089436319042508,1930,animation,disney
