Title,House,Decade,Year,Category,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase,Num_Adjectives,Num_Adverbs
Chicken Run,Aardman,2000,2000,Animation,0.20504385964912275,0.13569937369519824,0.346723044397463,0.20000000000000007,0.23676323676323677,0.24431818181818182
Flushed Away,Aardman,2000,2006,Animation,0.5094298245614034,0.12734864300626303,0.5634249471458774,0.09037037037037043,0.8891108891108891,1.0
Wallace And Gromit In The Curse Of The Were-Rabbit,Aardman,2000,2005,Animation,0.08223684210526315,0.2379958246346554,0.39957716701902757,0.24592592592592588,0.1758241758241758,0.11576704545454546
A Shaun the Sheep Movie Farmageddon,Aardman,2010,2019,Animation,0.03026315789473684,0.0,0.0,0.4044444444444445,0.0,0.0007102272727272727
Arthur Christmas,Aardman,2010,2011,Animation,0.3918859649122806,0.13778705636743216,0.321353065539112,0.24296296296296305,0.4005994005994006,0.3963068181818182
Early Man,Aardman,2010,2018,Animation,0.23442982456140343,0.14196242171189977,0.2864693446088795,0.22666666666666668,0.24075924075924077,0.2272727272727273
Shaun the Sheep Movie,Aardman,2010,2015,Animation,0.046929824561403495,0.10229645093945716,0.31818181818181823,0.047407407407407454,0.04795204795204795,0.046875
The Pirates In An Adventure With Scientists,Aardman,2010,2012,Animation,0.34122807017543855,0.1503131524008351,0.3403805496828753,0.25037037037037035,0.4145854145854146,0.4090909090909091
Horton Hears a Who,Blue,2000,2008,Animation,0.3309210526315789,0.1544885177453027,0.33403805496828753,0.21777777777777785,0.3986013986013986,0.3600852272727273
Ice Age 2-The Meltdown,Blue,2000,2006,Animation,0.21052631578947362,0.11273486430062629,0.36680761099365755,0.1777777777777778,0.24975024975024976,0.2677556818181818
Ice Age Dawn of the Dinosaurs,Blue,2000,2009,Animation,0.22894736842105257,0.11064718162839238,0.33932346723044404,0.1585185185185185,0.2777222777222777,0.29048295454545453
Ice Age,Blue,2000,2002,Animation,0.18048245614035086,0.10229645093945716,0.3625792811839324,0.16148148148148145,0.22377622377622378,0.2237215909090909
Epic,Blue,2010,2013,Animation,0.30570175438596486,0.10020876826722336,0.3911205073995772,0.14222222222222214,0.35364635364635366,0.4509943181818182
Ferdinand,Blue,2010,2017,Animation,0.38157894736842096,0.08559498956158662,0.3287526427061311,0.1392592592592593,0.4025974025974026,0.3991477272727273
Ice Age 3 Continental Drift,Blue,2010,2012,Animation,0.28377192982456134,0.1148225469728601,0.3023255813953488,0.18074074074074076,0.3106893106893107,0.3132102272727273
Ice Age Collision Course,Blue,2010,2016,Animation,0.3217105263157894,0.13987473903966596,0.3678646934460888,0.1896296296296296,0.45454545454545453,0.37997159090909094
Rio 2,Blue,2010,2014,Animation,0.4002192982456139,0.12734864300626303,0.32346723044397463,0.19259259259259254,0.48951048951048953,0.4353693181818182
Rio,Blue,2010,2011,Animation,0.3877192982456139,0.10647181628392477,0.3171247357293869,0.17629629629629628,0.4145854145854146,0.44247159090909094
Robots,Blue,2010,2005,Animation,0.287719298245614,0.10229645093945716,0.38689217758985206,0.16888888888888898,0.35264735264735264,0.3203125
Spies in Disguise,Blue,2010,2019,Animation,0.37324561403508766,0.12943632567849683,0.3097251585623679,0.2281481481481481,0.4045954045954046,0.3828125
The Peanuts Movie,Blue,2010,2015,Animation,0.19824561403508767,0.14613778705636749,0.39957716701902757,0.21925925925925926,0.28471528471528473,0.25
Snow White and the Seven Dwarfs,Disney,1930,1937,Animation,0.1991228070175438,0.09394572025052195,0.32346723044397463,0.16296296296296298,0.25274725274725274,0.2137784090909091
Bambi,Disney,1940,1942,Animation,0.08991228070175437,0.14405010438413357,0.3086680761099366,0.2577777777777778,0.12187812187812187,0.09659090909090909
Dumbo,Disney,1940,1941,Animation,0.1923245614035087,0.12943632567849683,0.3308668076109937,0.17481481481481487,0.24975024975024976,0.21164772727272727
Make Mine Music,Disney,1940,1946,Animation,0.2958333333333333,0.11273486430062629,0.4027484143763215,0.16148148148148145,0.35764235764235763,0.40980113636363635
Pinocchio,Disney,1940,1940,Animation,0.3037280701754385,0.14405010438413357,0.3202959830866808,0.2148148148148148,0.4485514485514486,0.30965909090909094
The Adventures of Ichabod and Mr Toad,Disney,1940,1949,Animation,0.13114035087719295,0.20459290187891443,0.5951374207188161,0.15407407407407403,0.3176823176823177,0.20099431818181818
Alice in Wonderland,Disney,1950,1951,Animation,0.29188596491228064,0.12734864300626303,0.36046511627906974,0.15703703703703709,0.42157842157842157,0.3615056818181818
Cinderella,Disney,1950,1950,Animation,0.24166666666666659,0.14822546972860118,0.3403805496828753,0.20444444444444443,0.27972027972027974,0.28764204545454547
Lady and the Tramp,Disney,1950,1955,Animation,0.25482456140350873,0.12526096033402923,0.31818181818181823,0.16148148148148145,0.3276723276723277,0.2947443181818182
Peter Pan,Disney,1950,1953,Animation,0.3260964912280701,0.1148225469728601,0.33932346723044404,0.18666666666666665,0.34765234765234765,0.30042613636363635
Sleeping Beauty,Disney,1950,1959,Animation,0.200438596491228,0.1565762004175365,0.3255813953488372,0.1955555555555556,0.2777222777222777,0.2421875
One Hundred and One Dalmatians,Disney,1960,1961,Animation,0.2839912280701754,0.13152400835073064,0.31818181818181823,0.2592592592592592,0.4015984015984016,0.30965909090909094
The Jungle Book,Disney,1960,1967,Animation,0.2921052631578947,0.11064718162839238,0.33932346723044404,0.16000000000000003,0.3516483516483516,0.33948863636363635
The Sword in the Stone,Disney,1960,1963,Animation,0.2947368421052631,0.12317327766179531,0.38372093023255827,0.17925925925925923,0.40559440559440557,0.3522727272727273
Robin Hood,Disney,1970,1973,Animation,0.2640350877192982,0.14196242171189977,0.3742071881606765,0.1777777777777778,0.4045954045954046,0.3224431818181818
The AristoCats,Disney,1970,1970,Animation,0.2609649122807017,0.1586638830897703,0.3710359408033827,0.21333333333333337,0.3856143856143856,0.33451704545454547
The Rescuers,Disney,1970,1977,Animation,0.1890350877192982,0.13987473903966596,0.3139534883720931,0.24296296296296305,0.26873126873126874,0.23224431818181818
Winnie the Pooh,Disney,1970,1977,Animation,0.3072368421052631,0.13569937369519824,0.4112050739957718,0.1777777777777778,0.4355644355644356,0.4240056818181818
Oliver and Company,Disney,1980,1988,Animation,0.2934210526315789,0.1148225469728601,0.3372093023255814,0.16000000000000003,0.34465534465534464,0.3125
The Black Cauldrion,Disney,1980,1985,Animation,0.22499999999999995,0.1169102296450939,0.3192389006342495,0.1955555555555556,0.25674325674325676,0.27201704545454547
The Fox And The Hound,Disney,1980,1981,Animation,0.18530701754385961,0.1565762004175365,0.3150105708245243,0.17925925925925923,0.2917082917082917,0.21875
The Great Mouse Detective,Disney,1980,1986,Animation,0.1953947368421052,0.1565762004175365,0.346723044397463,0.23555555555555552,0.3006993006993007,0.2713068181818182
The Little Mermaid,Disney,1980,1989,Animation,0.2853070175438596,0.1148225469728601,0.36575052854122625,0.14222222222222214,0.4745254745254745,0.34232954545454547
A Bug's Life,Disney,1990,1998,Animation,0.3907894736842104,0.1148225469728601,0.3583509513742072,0.17925925925925923,0.4515484515484515,0.4865056818181818
A Goofy Movie,Disney,1990,1995,Animation,0.3482456140350877,0.21711899791231726,0.25264270613107825,0.19111111111111112,0.5424575424575424,0.04332386363636364
Aladdin,Disney,1990,1992,Animation,0.39320175438596483,0.11273486430062629,0.3498942917547569,0.15555555555555545,0.5734265734265734,0.421875
Beauty and the Beast,Disney,1990,1991,Animation,0.35438596491228064,0.10438413361169097,0.36363636363636365,0.1318518518518519,0.5084915084915085,0.4140625
DuckTales The Movie - Treasure of the Lost Lamp,Disney,1990,1990,Animation,0.20877192982456136,0.13361169102296455,0.38054968287526436,0.1777777777777778,0.2917082917082917,0.2585227272727273
Hercules,Disney,1990,1997,Animation,0.38179824561403497,0.10855949895615868,0.3763213530655392,0.1511111111111112,0.5314685314685315,0.4325284090909091
Mulan,Disney,1990,1998,Animation,0.21995614035087713,0.20041753653444672,0.40803382663847787,0.19259259259259254,0.34965034965034963,0.21946022727272727
Pocahontas,Disney,1990,1995,Animation,0.3592105263157894,0.1148225469728601,0.3562367864693446,0.10222222222222221,0.5654345654345654,0.37215909090909094
Tarzan,Disney,1990,1999,Animation,0.20460526315789468,0.1189979123173277,0.3562367864693446,0.197037037037037,0.21178821178821178,0.26207386363636365
The Hunchback of Notre Dame,Disney,1990,1996,Animation,0.29144736842105257,0.14613778705636749,0.40486257928118397,0.19407407407407407,0.4045954045954046,0.38707386363636365
The Lion King,Disney,1990,1994,Animation,0.3302631578947368,0.11273486430062629,0.3583509513742072,0.15555555555555545,0.37162837162837165,0.38423295454545453
The Nightmare Before Christmas,Disney,1990,1993,Animation,0.2861842105263157,0.08141962421711901,0.3689217758985201,0.10370370370370374,0.36663336663336665,0.3224431818181818
The Rescuers Down Under,Disney,1990,1990,Animation,0.19868421052631574,0.12108559498956162,0.3710359408033827,0.18814814814814818,0.2837162837162837,0.26420454545454547
Toy Story 2,Disney,1990,1999,Animation,0.37521929824561395,0.10855949895615868,0.3372093023255814,0.1777777777777778,0.4275724275724276,0.3771306818181818
Toy Story,Disney,1990,1995,Animation,0.35723684210526313,0.1169102296450939,0.32452431289640593,0.18814814814814818,0.37462537462537465,0.37073863636363635
A Christmas Carol,Disney,2000,2009,Animation,0.17872807017543857,0.13778705636743216,0.4270613107822411,0.17629629629629628,0.26573426573426573,0.23295454545454547
Atlantis-The Lost Empire,Disney,2000,2001,Animation,0.37521929824561395,0.14196242171189977,0.3594080338266385,0.2340740740740741,0.40559440559440557,0.4161931818181818
Bolt,Disney,2000,2008,Animation,0.33004385964912275,0.11273486430062629,0.36997885835095135,0.1703703703703704,0.41358641358641357,0.3849431818181818
Brother Bear,Disney,2000,2003,Animation,0.26425438596491224,0.10020876826722336,0.3752642706131079,0.15555555555555545,0.27672327672327673,0.3231534090909091
Cars,Disney,2000,2006,Animation,0.4611842105263157,0.1148225469728601,0.38689217758985206,0.16888888888888898,0.5724275724275725,0.5134943181818182
Chicken Little,Disney,2000,2005,Animation,0.3017543859649122,0.1189979123173277,0.32980972515856233,0.18074074074074076,0.37462537462537465,0.3544034090909091
Dinosaur,Disney,2000,2000,Animation,0.14342105263157892,0.09394572025052195,0.34460887949260044,0.15407407407407403,0.17282717282717283,0.19460227272727273
Finding Nemo,Disney,2000,2003,Animation,0.48508771929824546,0.09812108559498955,0.2917547568710359,0.18814814814814818,0.44955044955044954,0.4708806818181818
Home on the Range,Disney,2000,2004,Animation,0.40438596491228057,0.16492693110647183,0.3097251585623679,0.11259259259259258,0.5974025974025974,0.37215909090909094
Lilo And Stitch,Disney,2000,2002,Animation,0.22807017543859642,0.13778705636743216,0.3435517970401691,0.21333333333333337,0.28471528471528473,0.2919034090909091
Meet the Robinsons,Disney,2000,2007,Animation,0.3550438596491228,0.12526096033402923,0.4175475687103595,0.1777777777777778,0.44455544455544455,0.5078125
Monsters Inc,Disney,2000,2001,Animation,0.4249999999999999,0.1169102296450939,0.3044397463002114,0.25037037037037035,0.45054945054945056,0.4353693181818182
Piglets Big Movie,Disney,2000,2003,Animation,0.2412280701754385,0.12526096033402923,0.4344608879492601,0.14370370370370378,0.36363636363636365,0.28267045454545453
Ratatouille,Disney,2000,2007,Animation,0.37872807017543847,0.13778705636743216,0.40909090909090917,0.1703703703703704,0.5274725274725275,0.46022727272727276
Recess Schools Out,Disney,2000,2001,Animation,0.35767543859649115,0.1607515657620041,0.4312896405919662,0.22370370370370363,0.5174825174825175,0.42684659090909094
Return to Never Land,Disney,2000,2002,Animation,0.2842105263157894,0.06889352818371608,0.2579281183932347,0.1318518518518519,0.31368631368631367,0.24431818181818182
The Emperors New Groove,Disney,2000,2000,Animation,0.36842105263157887,0.10020876826722336,0.34460887949260044,0.17481481481481487,0.4195804195804196,0.43110795454545453
The Incredibles,Disney,2000,2004,Animation,0.3842105263157894,0.14822546972860118,0.3625792811839324,0.21185185185185196,0.4825174825174825,0.48295454545454547
The Jungle Book 2,Disney,2000,2003,Animation,0.25438596491228066,0.11064718162839238,0.3350951374207189,0.20740740740740737,0.2547452547452547,0.30326704545454547
The Princess And The Frog,Disney,2000,2009,Animation,0.3385964912280701,0.12734864300626303,0.4661733615221988,0.1274074074074074,0.5514485514485514,0.49573863636363635
The Tigger Movie,Disney,2000,2000,Animation,0.37061403508771923,0.14196242171189977,0.3107822410147992,0.11259259259259258,0.5084915084915085,0.39204545454545453
The Wild,Disney,2000,2006,Animation,0.35241228070175434,0.10855949895615868,0.33298097251585623,0.19111111111111112,0.4085914085914086,0.42684659090909094
Treasure Planet,Disney,2000,2002,Animation,0.3471491228070175,0.1920668058455114,1.0,0.10222222222222221,1.0,0.8835227272727273
Up,Disney,2000,2009,Animation,0.26271929824561396,0.12317327766179531,0.34883720930232565,0.19407407407407407,0.25874125874125875,0.30184659090909094
Valiant,Disney,2000,2005,Animation,0.22894736842105257,0.14196242171189977,0.3911205073995772,0.18518518518518512,0.33666333666333664,0.27698863636363635
WALL-E,Disney,2000,2008,Animation,0.17719298245614032,0.13987473903966596,0.3033826638477802,0.2281481481481481,0.16283716283716285,0.12073863636363637
Arjun The Warrior Prince,Disney,2010,2012,Animation,0.17061403508771927,0.1586638830897703,0.39217758985200857,0.24888888888888894,0.16083916083916083,0.1903409090909091
Big Hero 6,Disney,2010,2014,Animation,0.2953947368421052,0.1565762004175365,0.34460887949260044,0.21333333333333337,0.37962037962037964,0.2975852272727273
Brave,Disney,2010,2012,Animation,0.2589912280701754,0.10647181628392477,0.34566596194503174,0.2029629629629629,0.27172827172827174,0.2471590909090909
Cars 2,Disney,2010,2011,Animation,0.4394736842105262,0.16701461377870552,0.42177589852008457,0.1955555555555556,0.6193806193806194,0.5838068181818182
Cars 3,Disney,2010,2017,Animation,0.5078947368421052,0.12734864300626303,0.38054968287526436,0.15703703703703709,0.5614385614385614,0.546875
Coco,Disney,2010,2017,Animation,0.4032894736842104,0.12317327766179531,0.3752642706131079,0.16000000000000003,0.36063936063936064,0.38778409090909094
Finding Dory,Disney,2010,2016,Animation,0.6390350877192982,0.10855949895615868,0.2684989429175476,0.16296296296296298,0.5364635364635365,0.6086647727272727
Frankenweenie,Disney,2010,2012,Animation,0.16184210526315787,0.14405010438413357,0.3372093023255814,0.22666666666666668,0.1758241758241758,0.18963068181818182
Frozen 2,Disney,2010,2019,Animation,0.3037280701754385,0.1148225469728601,0.40803382663847787,0.1392592592592593,0.4935064935064935,0.36860795454545453
Frozen,Disney,2010,2013,Animation,0.42653508771929816,0.09603340292275575,0.29069767441860467,0.18518518518518512,0.4805194805194805,0.4538352272727273
Incredibles 2,Disney,2010,2018,Animation,0.4793859649122806,0.1607515657620041,0.3498942917547569,0.23555555555555552,0.6233766233766234,0.5447443181818182
Inside Out,Disney,2010,2015,Animation,0.40921052631578936,0.1524008350730689,0.7135306553911205,0.1718518518518518,0.8291708291708292,0.9502840909090909
Mars Needs Moms,Disney,2010,2011,Animation,0.2953947368421052,0.09394572025052195,0.32663847780126853,0.16296296296296298,0.2987012987012987,0.3025568181818182
Moana,Disney,2010,2016,Animation,0.29824561403508765,0.10855949895615868,0.3847780126849895,0.1585185185185185,0.3086913086913087,0.3210227272727273
Monsters University,Disney,2010,2013,Animation,0.34451754385964906,0.14613778705636749,0.37949260042283306,0.19851851851851843,0.4745254745254745,0.3991477272727273
Planes Fire and Rescue,Disney,2010,2014,Animation,0.33333333333333326,0.14613778705636749,0.36575052854122625,0.22370370370370363,0.4225774225774226,0.33522727272727276
Planes,Disney,2010,2013,Animation,0.24188596491228065,0.12734864300626303,0.41649048625792817,0.1718518518518518,0.3356643356643357,0.28053977272727276
Ralph Breaks The Internet,Disney,2010,2018,Animation,0.5425438596491227,0.12734864300626303,0.3583509513742072,0.20740740740740737,0.6763236763236763,0.6399147727272727
Tangled,Disney,2010,2010,Animation,0.2535087719298245,0.13569937369519824,0.41649048625792817,0.16296296296296298,0.33766233766233766,0.37144886363636365
The Good Dinosaur,Disney,2010,2015,Animation,0.12982456140350873,0.08977035490605423,0.32452431289640593,0.17925925925925923,0.1038961038961039,0.1455965909090909
Toy Story 3,Disney,2010,2010,Animation,0.39320175438596483,0.11273486430062629,0.3255813953488372,0.19259259259259254,0.4025974025974026,0.4481534090909091
Toy Story 4,Disney,2010,2019,Animation,0.488157894736842,0.08559498956158662,0.28012684989429176,0.1955555555555556,0.4485514485514486,0.4928977272727273
Winnie the Pooh,Disney,2010,2011,Animation,0.2622807017543859,0.13778705636743216,0.38372093023255827,0.1644444444444445,0.3996003996003996,0.34232954545454547
Wreck it Ralph,Disney,2010,2012,Animation,0.4313596491228069,0.11273486430062629,0.37315010570824525,0.16888888888888898,0.46053946053946054,0.4943181818181818
Zootopia,Disney,2010,2016,Animation,0.4467105263157894,0.14822546972860118,0.3742071881606765,0.18814814814814818,0.6073926073926074,0.4950284090909091
Fantasia,Disney,1940,1940,Animation + Live Action,0.014912280701754387,0.2630480167014613,0.9513742071881607,0.2474074074074074,0.12487512487512488,0.08664772727272728
Melody Time,Disney,1940,1948,Animation + Live Action,0.125219298245614,0.17536534446764085,0.5602536997885836,0.1703703703703704,0.26073926073926074,0.19957386363636365
Saludos Amigos,Disney,1940,1943,Animation + Live Action,0.07412280701754385,0.2609603340292276,0.550739957716702,0.2518518518518519,0.22377622377622378,0.09730113636363637
So Dear To My Heart,Disney,1940,1948,Animation + Live Action,0.26951754385964904,0.12317327766179531,0.4608879492600423,0.1511111111111112,0.43156843156843155,0.3963068181818182
Song of the South,Disney,1940,1946,Animation + Live Action,0.4449561403508771,0.0793319415448851,0.3625792811839324,0.14370370370370378,0.6493506493506493,0.5348011363636364
The Reluctant Dragon,Disney,1940,1941,Animation + Live Action,0.07017543859649121,0.14196242171189977,0.34883720930232565,0.1777777777777778,0.13086913086913088,0.11931818181818182
The Three Caballeros,Disney,1940,1944,Animation + Live Action,0.21842105263157888,0.16492693110647183,0.4027484143763215,0.09629629629629632,0.26973026973026976,0.21022727272727273
Mary Poppins,Disney,1960,1964,Animation + Live Action,0.44100877192982446,0.1878914405010439,0.37737843551797046,0.2414814814814814,0.5984015984015985,0.49644886363636365
Bedknobs and Broomsticks,Disney,1970,1971,Animation + Live Action,0.32499999999999996,0.1607515657620041,0.4714587737843553,0.19111111111111112,0.5104895104895105,0.48082386363636365
Pete's Dragon,Disney,1970,1977,Animation + Live Action,0.4361842105263157,0.09603340292275575,0.3752642706131079,0.14074074074074072,0.5504495504495505,0.48366477272727276
Tron,Disney,1980,1982,Animation + Live Action,0.23026315789473678,0.1544885177453027,0.39852008456659627,0.2088888888888889,0.3276723276723277,0.3068181818181818
Fantasia 2000,Disney,1990,1999,Animation + Live Action,0.0125,0.2379958246346554,0.6479915433403807,0.28148148148148144,0.06693306693306693,0.04758522727272727
James and the Giant Peach,Disney,1990,1996,Animation + Live Action,0.2622807017543859,0.18371607515657618,0.3625792811839324,0.2088888888888889,0.4435564435564436,0.3224431818181818
G-Force,Disney,2000,2009,Animation + Live Action,0.3497807017543859,0.14196242171189977,0.40063424947145876,0.18222222222222229,0.43956043956043955,0.40767045454545453
Mary Poppins Returns,Disney,2010,2018,Animation + Live Action,0.5296052631578946,0.1148225469728601,0.4725158562367865,0.10666666666666669,0.7562437562437563,0.8018465909090909
Davy Crockett and the River Pirates,Disney,1950,1956,Live Action,0.23399122807017536,0.13361169102296455,0.4841437632135307,0.1777777777777778,0.3876123876123876,0.3806818181818182
Johnny Tremain,Disney,1950,1957,Live Action,0.30438596491228065,0.1524008350730689,0.4947145877378436,0.1511111111111112,0.45554445554445555,0.37855113636363635
