Title,House,Decade,Year,Category,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase,Num_Adjectives,Num_Adverbs,Short_Phrases%
Chicken Run,Aardman,2000,2000,Animation,1025,3.9,4.3,5.11,237,344,0.4878048780487805
Flushed Away,Aardman,2000,2006,Animation,1466,3.85,4.19,5.07,384,459,1.6371077762619373
Wallace And Gromit In The Curse Of The Were-Rabbit,Aardman,2000,2005,Animation,465,4.39,4.8,5.42,176,163,1.0752688172043012
Arthur Christmas,Aardman,2010,2011,Animation,1877,3.91,4.06,5.4,401,558,2.717101758124667
Early Man,Aardman,2010,2018,Animation,1159,3.93,3.73,5.29,241,320,2.5021570319240722
Shaun the Sheep Movie,Aardman,2010,2015,Animation,304,3.74,4.03,4.08,48,66,4.605263157894736
The Pirates In An Adventure With Scientists,Aardman,2010,2012,Animation,1646,3.97,4.24,5.45,415,576,2.67314702308627
Horton Hears a Who,Blue,2000,2008,Animation,1586,3.99,4.23,5.22,394,508,2.269861286254729
Ice Age 2-The Meltdown,Blue,2000,2006,Animation,1050,3.79,4.49,4.96,250,377,0.8571428571428572
Ice Age Dawn of the Dinosaurs,Blue,2000,2009,Animation,1132,3.78,4.22,4.83,278,409,0.7950530035335688
Ice Age,Blue,2000,2002,Animation,913,3.74,4.45,4.85,224,315,0.6571741511500547
Epic,Blue,2010,2013,Animation,1484,3.73,4.72,4.72,354,635,2.7628032345013476
Ferdinand,Blue,2010,2017,Animation,1763,3.7,4.32,4.75,402,549,2.0419739081111743
Ice Age 3 Continental Drift,Blue,2010,2012,Animation,1336,3.82,4.0,4.97,300,439,1.4970059880239521
Ice Age Collision Course,Blue,2010,2016,Animation,1494,3.94,4.68,5.05,420,533,1.07095046854083
Rio 2,Blue,2010,2014,Animation,1915,3.86,4.08,5.06,490,613,0.6788511749347258
Rio,Blue,2010,2011,Animation,1858,3.76,4.02,4.95,415,623,1.3455328310010763
Robots,Blue,2010,2005,Animation,1402,3.74,4.68,4.9,353,451,1.2125534950071328
Spies in Disguise,Blue,2010,2019,Animation,1792,3.87,3.95,5.3,405,539,1.2834821428571428
The Peanuts Movie,Blue,2010,2015,Animation,994,3.95,4.8,5.24,285,352,1.30784708249497
Snow White and the Seven Dwarfs,Disney,1930,1937,Animation,995,3.7,4.08,4.86,253,301,1.0050251256281406
Bambi,Disney,1940,1942,Animation,500,3.94,3.94,5.5,122,136,1.4000000000000001
Dumbo,Disney,1940,1941,Animation,967,3.87,4.15,4.94,250,298,2.0682523267838677
Pinocchio,Disney,1940,1940,Animation,1458,3.86,4.09,5.06,415,435,0.823045267489712
The Adventures of Ichabod and Mr Toad,Disney,1940,1949,Animation,688,4.23,6.65,4.8,318,283,0.436046511627907
Alice in Wonderland,Disney,1950,1951,Animation,1351,3.88,4.64,4.81,387,510,0.8882309400444115
Cinderella,Disney,1950,1950,Animation,1192,3.96,4.24,5.14,280,405,1.761744966442953
Lady and the Tramp,Disney,1950,1955,Animation,1170,3.86,4.32,5.0,312,408,1.5384615384615385
Peter Pan,Disney,1950,1953,Animation,1577,3.8,4.23,5.02,348,423,1.2682308180088777
Sleeping Beauty,Disney,1950,1959,Animation,1004,4.0,4.1,5.08,278,341,5.876494023904383
One Hundred and One Dalmatians,Disney,1960,1961,Animation,1385,3.88,4.03,5.51,402,436,0.1444043321299639
The Jungle Book,Disney,1960,1967,Animation,1422,3.78,4.23,4.84,352,478,4.9929676511954995
The Sword in the Stone,Disney,1960,1963,Animation,1434,3.84,4.65,4.97,406,496,0.8368200836820083
Robin Hood,Disney,1970,1973,Animation,1294,3.93,4.56,4.96,405,454,3.0139103554868623
The AristoCats,Disney,1970,1970,Animation,1280,4.01,4.53,5.2,386,471,0.78125
The Rescuers,Disney,1970,1977,Animation,952,3.92,3.99,5.4,269,327,4.0966386554621845
Winnie the Pooh,Disney,1970,1977,Animation,1491,3.9,4.91,4.96,436,597,0.9389671361502347
Oliver and Company,Disney,1980,1988,Animation,1428,3.8,4.21,4.84,345,440,2.3109243697478994
The Black Cauldrion,Disney,1980,1985,Animation,1116,3.81,4.04,5.08,257,383,1.971326164874552
The Fox And The Hound,Disney,1980,1981,Animation,935,4.0,4.0,4.97,292,308,1.1764705882352942
The Great Mouse Detective,Disney,1980,1986,Animation,981,4.0,4.3,5.35,301,382,1.4271151885830784
The Little Mermaid,Disney,1980,1989,Animation,1186,3.87,5.18,4.7,389,476,2.1079258010118047
A Bug's Life,Disney,1990,1998,Animation,1864,3.8,4.43,4.97,440,684,0.7510729613733905
A Goofy Movie,Disney,1990,1995,Animation,1537,3.74,4.16,5.02,353,522,1.3662979830839297
Aladdin,Disney,1990,1992,Animation,1692,3.85,4.78,4.78,484,590,1.3593380614657211
Beauty and the Beast,Disney,1990,1991,Animation,1413,3.83,5.32,4.61,403,584,0.9907997169143666
DuckTales The Movie - Treasure of the Lost Lamp,Disney,1990,1990,Animation,1042,3.89,4.62,4.96,292,364,1.055662188099808
Hercules,Disney,1990,1997,Animation,1736,3.8,4.8,4.79,499,609,1.2672811059907834
Mulan,Disney,1990,1998,Animation,1110,4.13,4.86,4.97,320,315,2.0720720720720722
Pocahontas,Disney,1990,1995,Animation,1376,3.89,5.07,4.73,326,520,0.7267441860465116
Tarzan,Disney,1990,1999,Animation,1023,3.82,4.39,5.09,212,369,0.4887585532746823
The Hunchback of Notre Dame,Disney,1990,1996,Animation,1419,3.95,4.85,5.07,405,545,0.49330514446793516
The Lion King,Disney,1990,1994,Animation,1596,3.79,4.41,4.81,372,541,1.3157894736842104
The Nightmare Before Christmas,Disney,1990,1993,Animation,1229,4.02,4.83,4.63,310,422,4.231082180634662
The Rescuers Down Under,Disney,1990,1990,Animation,996,3.83,4.53,5.03,284,372,1.2048192771084338
Toy Story 2,Disney,1990,1999,Animation,1801,3.77,4.21,4.96,428,531,1.1104941699056081
Toy Story,Disney,1990,1995,Animation,1719,3.81,4.09,5.03,375,522,1.0471204188481675
A Christmas Carol,Disney,2000,2009,Animation,905,3.91,5.06,4.95,266,328,0.9944751381215469
Atlantis-The Lost Empire,Disney,2000,2001,Animation,1801,3.93,4.42,5.34,406,586,1.2770682953914492
Bolt,Disney,2000,2008,Animation,1595,3.79,4.52,4.91,414,542,0.6896551724137931
Brother Bear,Disney,2000,2003,Animation,1295,3.73,4.57,4.81,277,455,1.3899613899613898
Cars,Disney,2000,2006,Animation,2193,3.8,4.68,4.9,573,723,1.550387596899225
Chicken Little,Disney,2000,2005,Animation,1466,3.82,4.14,4.98,375,499,1.296043656207367
Dinosaur,Disney,2000,2000,Animation,744,3.7,4.28,4.8,173,274,3.763440860215054
Finding Nemo,Disney,2000,2003,Animation,2302,3.72,3.78,5.03,450,663,1.6072980017376195
Home on the Range,Disney,2000,2004,Animation,1688,4.07,4.38,4.9,472,530,4.1469194312796205
Lilo And Stitch,Disney,2000,2002,Animation,1130,3.91,4.27,5.2,285,411,1.6814159292035398
Meet the Robinsons,Disney,2000,2007,Animation,1709,3.85,4.97,4.96,445,715,0.7606787595084844
Monsters Inc,Disney,2000,2001,Animation,1994,3.82,3.93,5.47,427,615,2.0561685055165495
Piglets Big Movie,Disney,2000,2003,Animation,1147,3.88,5.13,4.81,342,392,0.26155187445510025
Ratatouille,Disney,2000,2007,Animation,1817,3.91,4.89,4.91,528,648,1.1007154650522841
Recess Schools Out,Disney,2000,2001,Animation,1721,4.02,5.1,5.27,518,601,0.9877977919814062
Return to Never Land,Disney,2000,2002,Animation,1217,3.67,3.93,4.96,247,340,2.629416598192276
The Emperors New Groove,Disney,2000,2000,Animation,1770,3.73,4.28,4.94,420,607,1.6384180790960452
The Incredibles,Disney,2000,2004,Animation,1842,3.96,4.45,5.19,483,680,0.5428881650380022
The Jungle Book 2,Disney,2000,2003,Animation,1250,3.78,4.19,5.16,255,427,1.52
The Princess And The Frog,Disney,2000,2009,Animation,1634,3.86,5.43,4.62,552,698,0.6119951040391677
The Tigger Movie,Disney,2000,2000,Animation,1529,4.03,4.29,5.11,428,554,6.213211249182472
The Wild,Disney,2000,2006,Animation,1697,3.77,4.17,5.05,409,601,1.3553329404832055
Treasure Planet,Disney,2000,2002,Animation,1643,3.94,4.17,5.14,450,557,5.05173463177115
Up,Disney,2000,2009,Animation,1287,3.84,4.32,5.07,258,425,1.6317016317016315
Valiant,Disney,2000,2005,Animation,1134,3.93,4.72,5.01,337,390,0.4409171075837742
WALL-E,Disney,2000,2008,Animation,830,4.06,3.95,5.6,154,152,1.3253012048192772
Arjun The Warrior Prince,Disney,2010,2012,Animation,868,4.01,4.73,5.44,161,268,2.5345622119815667
Big Hero 6,Disney,2010,2014,Animation,1429,4.01,4.3,5.2,380,419,1.5395381385584324
Brave,Disney,2010,2012,Animation,1217,3.78,4.46,5.14,249,348,1.6433853738701727
Cars 2,Disney,2010,2011,Animation,2094,4.05,5.01,5.08,620,822,0.5730659025787965
Cars 3,Disney,2010,2017,Animation,2371,3.87,4.68,4.83,553,768,1.3074652045550401
Coco,Disney,2010,2017,Animation,1888,3.85,4.65,4.84,346,542,2.065677966101695
Finding Dory,Disney,2010,2016,Animation,3004,3.77,3.56,4.86,537,857,4.727030625832223
Frankenweenie,Disney,2010,2012,Animation,828,3.94,4.21,5.29,176,267,1.932367149758454
Frozen 2,Disney,2010,2019,Animation,1310,3.86,5.46,4.67,371,521,1.1450381679389312
Frozen,Disney,2010,2013,Animation,1929,3.74,3.95,4.97,425,631,2.280974598237429
Incredibles 2,Disney,2010,2018,Animation,2276,4.02,4.33,5.35,624,767,1.054481546572935
Inside Out,Disney,2010,2015,Animation,2084,3.81,4.25,4.91,495,686,0.8637236084452975
Mars Needs Moms,Disney,2010,2011,Animation,1437,3.7,4.11,4.86,299,426,3.479471120389701
Moana,Disney,2010,2016,Animation,1450,3.77,4.66,4.83,309,452,0.9655172413793104
Monsters University,Disney,2010,2013,Animation,1661,3.95,4.61,5.1,475,562,0.4214328717639976
Planes Fire and Rescue,Disney,2010,2014,Animation,1610,3.95,4.47,5.27,423,472,1.0559006211180124
Planes,Disney,2010,2013,Animation,1193,3.86,4.96,4.92,336,395,1.0058675607711651
Ralph Breaks The Internet,Disney,2010,2018,Animation,2547,3.87,4.44,5.16,664,901,1.3741656851197488
Tangled,Disney,2010,2010,Animation,1246,3.9,4.96,4.86,338,523,2.327447833065811
The Good Dinosaur,Disney,2010,2015,Animation,682,3.68,4.09,4.97,104,205,1.7595307917888565
Toy Story 3,Disney,2010,2010,Animation,1883,3.79,4.1,5.06,403,631,0.9028146574614976
Toy Story 4,Disney,2010,2019,Animation,2313,3.68,3.68,5.08,450,695,1.4267185473411155
Winnie the Pooh,Disney,2010,2011,Animation,1224,3.95,4.86,4.8,376,481,2.8594771241830066
Wreck it Ralph,Disney,2010,2012,Animation,2057,3.79,4.55,4.9,461,696,1.9931939718035974
Zootopia,Disney,2010,2016,Animation,2076,3.97,4.66,5.05,606,697,2.023121387283237
Fantasia,Disney,1940,1940,Animation + Live Action,158,4.51,10.02,5.43,125,122,0.0
Melody Time,Disney,1940,1948,Animation + Live Action,661,4.09,6.32,4.91,261,281,0.30257186081694404
Saludos Amigos,Disney,1940,1943,Animation + Live Action,428,4.5,6.23,5.46,224,137,2.570093457943925
So Dear To My Heart,Disney,1940,1948,Animation + Live Action,1319,3.84,5.38,4.78,432,558,2.047005307050796
Song of the South,Disney,1940,1946,Animation + Live Action,2014,3.65,4.61,4.75,590,753,4.220456802383317
The Reluctant Dragon,Disney,1940,1941,Animation + Live Action,410,3.93,4.32,4.96,131,168,0.4878048780487805
The Three Caballeros,Disney,1940,1944,Animation + Live Action,1086,4.04,4.83,4.41,270,296,4.880294659300184
Mary Poppins,Disney,1960,1964,Animation + Live Action,2101,4.15,4.59,5.39,599,699,0.47596382674916704
Bedknobs and Broomsticks,Disney,1970,1971,Animation + Live Action,1572,4.02,5.48,5.05,511,677,0.44529262086513993
Pete's Dragon,Disney,1970,1977,Animation + Live Action,1919,3.83,5.06,4.73,509,668,1.2506513809275663
Tron,Disney,1980,1982,Animation + Live Action,1140,3.99,4.79,5.17,328,432,0.7894736842105263
