,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl
0,Ice Age Dawn of the Dinosaurs,2009,2000,Blue,Animation,0.2609417407688148,0.645334224215043,0.1058938953137406,0.13439461696611277,0.42189261162657804,0.7492681689785766,0.2793099248382569,0.13173636325703433,1,5,10,4,0,1,6,2
1,Horton Hears a Who,2008,2000,Blue,Animation,0.30750720487472943,0.5766288905348804,0.18954066353603627,0.1862051063046536,0.42505057947464775,0.7603868488842568,0.36618898720774906,0.1555900610658977,2,5,12,5,0,1,6,2
2,Ice Age 2-The Meltdown,2006,2000,Blue,Animation,0.266583430000588,0.6455330214574504,0.0891332791978473,0.09691567248976485,0.4266458956463901,0.7584676128610616,0.2853955628387852,0.14194622785252398,1,5,8,4,0,1,6,2
3,Ice Age,2002,2000,Blue,Animation,0.24264268431897038,0.6880927980134617,0.09590350213693333,0.11262329204762744,0.4060442930783349,0.7423720001420865,0.25656232386682243,0.1380072240560829,1,5,10,4,0,1,6,2
4,Epic,2013,2010,Blue,Animation,0.2619008876215912,0.6773837680658055,0.079020898700781,0.09575372528928305,0.4217540722895099,0.7633393130933255,0.29919014428351587,0.16418352631529237,1,5,8,4,0,1,6,2
5,Ferdinand,2017,2010,Blue,Animation,0.22132348295217996,0.7157067643235155,0.08987394939960469,0.10693479634099479,0.38569304806948485,0.7206339524585673,0.26279251644455215,0.12757759641509664,1,5,10,4,0,0,6,2
6,Ice Age 3 Continental Drift,2012,2010,Blue,Animation,0.2607321443458974,0.6531538076699857,0.17715436514892113,0.2115704413751509,0.3768719660492205,0.7201826776482695,0.30266824808294757,0.14041650650058132,1,5,12,5,0,0,6,2
7,Ice Age Collision Course,2016,2010,Blue,Animation,0.31115875861557996,0.5805079906335577,0.16947097785763632,0.1958709414273515,0.41690069001075497,0.7581807334736527,0.3573320043454131,0.16444115960374633,2,5,10,5,0,1,6,2
8,Robots,2005,2010,Blue,Animation,0.2604981806200144,0.6724165832217084,0.08525566352399572,0.10212898967902273,0.43130101865940557,0.7681171953443509,0.29071586173442154,0.15658432770017078,1,5,8,4,0,1,6,2
9,Rio 2,2014,2010,Blue,Animation,0.2980264199935539,0.5841867248089652,0.10767533169218235,0.11894874922064158,0.42879612420608726,0.7585882416710775,0.34350804035717253,0.14427105411894975,1,5,10,4,0,1,6,2
