,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl,num_words,num_terms,rttr,cttr,mltd
0,Ice Age Dawn of the Dinosaurs,2009,2000,Blue,Animation,0.2609417407688148,0.645334224215043,0.1058938953137406,0.13439461696611277,0.42189261162657804,0.7492681689785766,0.2793099248382569,0.13173636325703433,1,5,10,4,0,1,6,2,0.27833295480354303,0.4233390119250426,0.6602563088267567,0.6602563088267572,0.6595638422377609
1,Horton Hears a Who,2008,2000,Blue,Animation,0.30750720487472943,0.5766288905348804,0.18954066353603627,0.1862051063046536,0.42505057947464775,0.7603868488842568,0.36618898720774906,0.1555900610658977,2,5,12,5,0,1,6,2,0.40523506699977285,0.5902896081771721,0.7814789469275805,0.7814789469275807,0.5572915746955023
2,Ice Age 2-The Meltdown,2006,2000,Blue,Animation,0.266583430000588,0.6455330214574504,0.0891332791978473,0.09691567248976485,0.4266458956463901,0.7584676128610616,0.2853955628387852,0.14194622785252398,1,5,8,4,0,1,6,2,0.2812287076992959,0.424190800681431,0.6579097536843558,0.6579097536843561,0.5809607077423047
3,Ice Age,2002,2000,Blue,Animation,0.24264268431897038,0.6880927980134617,0.09590350213693333,0.11262329204762744,0.4060442930783349,0.7423720001420865,0.25656232386682243,0.1380072240560829,1,5,10,4,0,1,6,2,0.23762207585736994,0.39352640545144807,0.6636970069954442,0.6636970069954442,0.7130469415586734
4,Epic,2013,2010,Blue,Animation,0.2619008876215912,0.6773837680658055,0.079020898700781,0.09575372528928305,0.4217540722895099,0.7633393130933255,0.29919014428351587,0.16418352631529237,1,5,8,4,0,1,6,2,0.42028162616397907,0.512350936967632,0.6502407785425093,0.6502407785425095,0.7019446111861632
5,Ferdinand,2017,2010,Blue,Animation,0.22132348295217996,0.7157067643235155,0.08987394939960469,0.10693479634099479,0.38569304806948485,0.7206339524585673,0.26279251644455215,0.12757759641509664,1,5,10,4,0,0,6,2,0.42754939813763343,0.4872231686541738,0.6069188911659604,0.6069188911659609,0.48304381704265775
6,Ice Age 3 Continental Drift,2012,2010,Blue,Animation,0.2607321443458974,0.6531538076699857,0.17715436514892113,0.2115704413751509,0.3768719660492205,0.7201826776482695,0.30266824808294757,0.14041650650058132,1,5,12,5,0,0,6,2,0.3221667045196457,0.4463373083475298,0.6457100369355795,0.6457100369355795,0.4361997783708659
7,Ice Age Collision Course,2016,2010,Blue,Animation,0.31115875861557996,0.5805079906335577,0.16947097785763632,0.1958709414273515,0.41690069001075497,0.7581807334736527,0.3573320043454131,0.16444115960374633,2,5,10,5,0,1,6,2,0.42062230297524417,0.616695059625213,0.8042763387278431,0.8042763387278435,0.5371668121125791
8,Robots,2005,2010,Blue,Animation,0.2604981806200144,0.6724165832217084,0.08525566352399572,0.10212898967902273,0.43130101865940557,0.7681171953443509,0.29071586173442154,0.15658432770017078,1,5,8,4,0,1,6,2,0.3971723824665001,0.49829642248722317,0.650481547488757,0.6504815474887573,0.6547737324100913
9,Rio 2,2014,2010,Blue,Animation,0.2980264199935539,0.5841867248089652,0.10767533169218235,0.11894874922064158,0.42879612420608726,0.7585882416710775,0.34350804035717253,0.14427105411894975,1,5,10,4,0,1,6,2,0.47251873722461957,0.5954003407155026,0.7233065919207502,0.7233065919207504,0.5441690146889615
10,Spies in Disguise,2019,2010,Blue,Animation,0.2929722422755053,0.5869092013664048,0.13805296098610087,0.1406237700442866,0.4348262403480757,0.7594077472910725,0.337794662077637,0.13767409274568293,1,5,10,4,0,1,6,2,0.44640018169429935,0.563458262350937,0.7012517719244304,0.7012517719244307,0.5954360718547697
11,Rio,2011,2010,Blue,Animation,0.25153082188216624,0.6786389763188616,0.08081407727455969,0.08659760552296081,0.40512127561135747,0.7449160588224115,0.2860478649504663,0.14670793423468856,1,5,8,4,0,1,6,2,0.45349761526232113,0.5029812606473595,0.6086521904457569,0.6086521904457571,0.4305744293944911
12,The Peanuts Movie,2015,2010,Blue,Animation,0.30309836456032346,0.6098108348391311,0.09931347094416865,0.10196191758136375,0.4580321900025511,0.792192379195374,0.32233935604887964,0.17427898599903763,2,5,10,4,0,2,6,2,0.2934362934362934,0.4476149914821125,0.6833036119733409,0.6833036119733411,0.7544288130351653
13,The Land Before Time IX-Journey to Big Water,2002,2000,Universal,Animation,0.3076514357190204,0.6257495485006794,0.15824081167074744,0.15991574029698885,0.40863920860284586,0.7590450918424727,0.34912954007284214,0.19895720216755025,2,5,10,4,0,1,6,3,0.275721099250511,0.2921635434412266,0.4264637168544261,0.42646371685442613,0.43901931175401065
14,The Land Before Time XII-The Great Day Of The Flyers,2006,2000,Universal,Animation,0.26015022102559804,0.7009755771363868,0.0470690314092419,0.037012011278244716,0.410748041547287,0.7592893096404206,0.25112686986481836,0.17896219892900833,1,5,8,4,0,1,6,2,0.28298887122416533,0.3079216354344123,0.4477827426646217,0.44778274266462187,0.413351685364334
15,The Land Before Time XI,2005,2000,Universal,Animation,0.27130063489952405,0.7031758762232556,0.2379662287213571,0.26137847761234645,0.371234208967715,0.7319175042472494,0.3046218981902099,0.20404552607123722,1,5,12,5,0,0,6,3,0.31643197819668406,0.3534923339011925,0.49502626567338737,0.49502626567338753,0.3778932621187169
16,Balto III Wings of Change,2004,2000,Universal,Animation,0.2077262531430129,0.7357242883568871,0.12717858850546582,0.10720566438296275,0.3485523126455176,0.6897468208244338,0.228124133824828,0.12033346986235964,0,5,10,4,0,-1,5,1,0.04247104247104247,0.13884156729131175,0.49665937868420773,0.4966593786842078,0.5395470579843484
17,The Land Before Time X-The Great Longneck Migration,2003,2000,Universal,Animation,0.24798377222107892,0.717218996968525,0.04505562120571571,0.03724281018087061,0.42743860078747775,0.7706115904005182,0.3085226923358626,0.17773480357909383,1,5,8,4,0,2,6,2,0.28724733136497843,0.31814310051107325,0.46182834166576725,0.4618283416657674,0.5211289837399302
18,The Land Before Time XIII -The Wisdom of Friends,2007,2000,Universal,Animation,0.23993063758013972,0.7289051161657674,0.015391248500700283,0.013017097895452467,0.4083082612964932,0.7559087917960633,0.2283941830390397,0.16861140351761386,1,5,8,4,0,1,5,2,0.2230865319100613,0.25212947189097107,0.40499256503007075,0.4049925650300708,0.43553322145493534
