year,ref_color,counts
1930,#000080,4
1930,#00008B,6
1930,#0000CD,3
1930,#006400,4
1930,#008080,25
1930,#008B8B,1
1930,#00BFFF,1
1930,#191970,34
1930,#1E90FF,4
1930,#20B2AA,2
1930,#228B22,3
1930,#2E8B57,15
1930,#2F4F4F,811
1930,#3CB371,1
1930,#4169E1,12
1930,#4682B4,107
1930,#483D8B,108
1930,#48D1CC,1
1930,#556B2F,127
1930,#5F9EA0,85
1930,#6495ED,19
1930,#663399,3
1930,#66CDAA,2
1930,#696969,1378
1930,#6A5ACD,6
1930,#6B8E23,4
1930,#708090,146
1930,#778899,112
1930,#7B68EE,2
1930,#800000,101
1930,#800080,1
1930,#808000,8
1930,#808080,620
1930,#87CEEB,7
1930,#87CEFA,5
1930,#8B0000,12
1930,#8B4513,194
1930,#8FBC8F,31
1930,#9370DB,3
1930,#9400D3,1
1930,#9ACD32,3
1930,#A0522D,231
1930,#A52A2A,99
1930,#A9A9A9,515
1930,#ADD8E6,19
1930,#B0C4DE,57
1930,#B0E0E6,21
1930,#B22222,32
1930,#B8860B,16
1930,#BC8F8F,414
1930,#BDB76B,53
1930,#C0C0C0,305
1930,#C71585,4
1930,#CD5C5C,27
1930,#CD853F,77
1930,#D2691E,15
1930,#D2B48C,317
1930,#D3D3D3,124
1930,#D8BFD8,106
1930,#DA70D6,3
1930,#DAA520,6
1930,#DB7093,15
1930,#DC143C,1
1930,#DCDCDC,73
1930,#DDA0DD,11
1930,#DEB887,32
1930,#E6E6FA,35
1930,#E9967A,46
1930,#EEE8AA,3
1930,#F08080,1
1930,#F0E68C,14
1930,#F0F8FF,2
1930,#F0FFF0,1
1930,#F4A460,4
1930,#F5DEB3,10
1930,#F5F5DC,6
1930,#F5F5F5,7
1930,#F8F8FF,3
1930,#FA8072,1
1930,#FAEBD7,14
1930,#FAF0E6,7
1930,#FAFAD2,1
1930,#FF6347,4
1930,#FF7F50,4
1930,#FFA07A,2
1930,#FFB6C1,6
1930,#FFC0CB,7
1930,#FFDAB9,8
1930,#FFDEAD,3
1930,#FFE4C4,2
1930,#FFE4E1,9
1930,#FFF0F5,11
1930,#FFFAF0,1
1930,#FFFAFA,2
1930,#FFFF00,1
1930,#FFFFFF,21
1940,#000080,4
1940,#00008B,3
1940,#0000CD,1
1940,#0000FF,1
1940,#006400,5
1940,#008080,18
1940,#008B8B,6
1940,#00BFFF,1
1940,#191970,180
1940,#1E90FF,13
1940,#20B2AA,1
1940,#228B22,5
1940,#2E8B57,11
1940,#2F4F4F,977
1940,#3CB371,2
1940,#40E0D0,1
1940,#4169E1,30
1940,#4682B4,267
1940,#483D8B,414
1940,#48D1CC,6
1940,#4B0082,3
1940,#556B2F,184
1940,#5F9EA0,65
1940,#6495ED,55
