Title,House,Year,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase
Chicken Run 2000.srt,AADMAN,2000,1016,3.9,4.33,5.12
Flushed Away 2006.srt,AADMAN,2000,2413,3.86,6.35,4.37
Wallace And Gromit In The Curse Of The Were-Rabbit 2005.srt,AADMAN,2000,465,4.39,4.8,5.42
A Shaun the Sheep Movie Farmageddon 2019.srt,AADMAN,2010,228,3.25,1.02,6.49
Arthur Christmas 2011.srt,AADMAN,2010,1877,3.91,4.06,5.4
Early Man 2018.srt,AADMAN,2010,1159,3.93,3.73,5.29
Shaun the Sheep Movie 2015.srt,AADMAN,2010,304,3.74,4.03,4.08
The Pirates In An Adventure With Scientists 2012.srt,AADMAN,2010,1646,3.97,4.24,5.45
Horton.Hears.a.Who.BluRay.1080p.x264.5.1.Judas.srt,BLUE,2000,1599,3.99,4.18,5.23
Ice Age 2-The Meltdown 2006.srt,BLUE,2000,1050,3.79,4.49,4.96
Ice Age 2002.srt,BLUE,2000,913,3.74,4.45,4.85
Ice Age Dawn of the Dinosaurs 2009.srt,BLUE,2000,1134,3.78,4.23,4.83
Epic 2013.srt,BLUE,2010,1484,3.73,4.72,4.72
Ferdinand 2017.srt,BLUE,2010,1830,3.66,4.13,4.7
Ice Age 3 continental drift 2012.srt,BLUE,2010,1384,3.8,3.88,4.98
Ice Age Collision Course 2016.srt,BLUE,2010,1557,3.92,4.5,5.04
Rio 2 2014.srt,BLUE,2010,1915,3.86,4.08,5.06
Rio 2011.srt,BLUE,2010,3340,3.38,2.4,4.54
Robots 2005.srt,BLUE,2010,1402,3.74,4.68,4.9
Spies in Disguise 2019.srt,BLUE,2010,1792,3.87,3.95,5.3
The Peanuts Movie 2015.srt,BLUE,2010,994,3.95,4.8,5.24
Despicable Me 2 2013.srt,ILLUMINATION,2010,1722,4.1,8.78,4.43
Despicable Me 2010.srt,ILLUMINATION,2010,1109,3.81,4.51,4.9
Despicable Me 3 2017.srt,ILLUMINATION,2010,1515,3.73,3.55,5.35
Hop 2011.srt,ILLUMINATION,2010,1958,3.79,4.18,5.03
Minions 2015.srt,ILLUMINATION,2010,1015,4.02,3.91,5.53
Sing 2016.srt,ILLUMINATION,2010,2262,3.76,4.59,4.75
The Grinch 2018.srt,ILLUMINATION,2010,1236,3.83,4.4,5.1
The Lorax 2012.srt,ILLUMINATION,2010,1311,3.79,4.45,4.86
The Secret Life of Pets 2 2019.srt,ILLUMINATION,2010,1699,3.65,3.69,5.09
The Secret Life of Pets 2016.srt,ILLUMINATION,2010,1420,3.66,4.23,4.86
Castle.In.The.Sky.1986.srt,sub studio ghibli,1980,2091,3.84,3.95,5.17
Grave of the Fireflies.srt,sub studio ghibli,1980,779,3.8,4.51,4.98
Kikis.Delivery.Service.1989.srt,sub studio ghibli,1980,1280,3.79,4.84,4.76
My.Neighbor.Totoro.1988.srt,sub studio ghibli,1980,692,3.79,3.91,4.9
My.Neighbors.the.Yamadas.1999.srt,sub studio ghibli,1990,1116,3.91,4.51,5.14
Only.Yesterday.1991.srt,sub studio ghibli,1990,1400,3.9,4.88,4.94
pom.poko.1994.srt,sub studio ghibli,1990,1331,4.35,7.38,5.1
Porco.Rosso.1992.srt,sub studio ghibli,1990,1126,3.83,4.54,4.88
Princess.Mononoke.1997.srt,sub studio ghibli,1990,1514,3.83,5.37,4.89
The Ocean Waves.srt,sub studio ghibli,1990,1047,3.91,4.79,4.82
Whisper.of.the.Heart.1995.srt,sub studio ghibli,1990,1321,3.73,4.31,4.95
Howls.Moving.Castle.2004.srt,sub studio ghibli,2000,1245,3.84,4.51,5.1
Ponyo.2008.1080p.BluRay.x264-MUVI.eng.srt,sub studio ghibli,2000,1188,3.74,4.04,4.91
Spirited.Away.2001.srt,sub studio ghibli,2000,1301,3.71,4.2,4.96
Tales.From.Earthsea.2006.srt,sub studio ghibli,2000,1156,3.89,4.43,5.06
The.Cat.Returns.2002.srt,sub studio ghibli,2000,958,3.8,4.1,5.0
